Headlines,Emily_Class,Roh_Class,Osman_Class
"Michael Jordan Attacks Softness, Lack Of Competitiveness In Modern Blackjack Players",0,1,0
Michael Moore has a morning after to-do list for how to save America,0,1,0
Michael Phelps death stare: US swim star unimpressed by rivals antics,0,0,0
Michelle Obama data breach: purported scan of first ladys passport appears online,0,0,0
Michelle Obama Quietly Reassigned To Department Of Agriculture After Butting Heads With President,0,1,0
Michelle Obama: She took first lady chic and made it modern,0,0,0
Mick Fanning wins World Surfing League event at scene of shark attack,0,0,0
Microsoft Surface irks NFL coaches and stars: Im done with tablets,0,0,0
Millions Of Drunk Cubs Fans Rioting In Heaven Following World Series Win,0,1,0
Millions Of Retirees Absolutely Sopping Wet After Seeing Alex Trebeks New Beard,1,1,1
"Millions Of White Nationalists Gather In Streets, Offices Around Country To Normally Go About Day",1,1,1
Mind-Blowing: This Incredible Fan Theory Suggests That Mr. Bean Is A Weird And Goofy Dude,1,1,1
Mind-controlled robot arm gives back sense of touch to paralysed man,0,0,0
Mitch McConnell Celebrates Brett Kavanaugh As Culmination Of Everything Hes Worked Against,0,1,0
Mitch McConnell Dodges Reporters Question By Quickly Stepping Into Empty Elevator Shaft,1,1,1
Mitt Romney Graciously Accepts Thing He Has Paid Millions Of Dollars For,1,1,1
MLB Players Association Advises Remaining Free Agents To Try Adding Keywords Like Baseball To Resums,1,1,1
Mom Makes Sure Everyone Has Masturbated Before Long Car Ride,1,1,1
Mom Wants One Of Those Things Your Sister Has For Christmas,0,1,1
Monsanto Lab On Lockdown After Scientists Find Shattered Tomato Containment Unit,0,1,0
Moonlight review devastating drama is vital portrait of black gay masculinity in America,0,0,0
More Corporations Using Tag And Release Programs To Study American Consumers,1,0,0
"More than 1,200 new planets discovered through Nasas Kepler space telescope",0,0,0
Most Shocking Things Drake Has Said If You Take Them Out Of Context,1,1,1
Most Wanted: San Francisco flyers name and shame Airbnb hosts,0,0,0
Mosul civilians brace for assault as Iraq forces bid to retake Isis stronghold,0,0,0
Mother Annoyed Son Playing Video Games On Beautiful Day When He Could Go Outside To Kill People,1,1,1
Movies and mountains: mixing film and skiing at the Sundance festival,0,0,0
Mr Robot returns and The Girlfriend Experience new on Amazon Prime in July,0,0,1
"Mr. Autumn Man Walking Down Street With Cup Of Coffee, Wearing Sweater Over Plaid Collared Shirt",1,1,1
MS-13 Gang Leader Getting Some Pretty Great Ideas From Watching ICE Work,0,1,0
MTA Officials Assure New Yorkers That Todays Subway Will Run Just As Fucked Up As Normal,1,1,1
MTA Unveils New Designated Seating For Commuters Who Look Like Theyre About To Snap,1,1,1
Museum Gift Shop Openly Daring Anyone To Spend $450 On Decorative Geode,1,1,0
Must See: 80s Throwback! Johnson & Johnson Is Releasing A Limited-Edition Bottle Of Poison Tylenol,1,1,1
Must See: Incredible: This Hero Cop Talked A Suicidal Person Into Going Vegetarian,1,1,1
Must See: Not Sure This Counts: This Kids Science Fair Project Is Just A Frog In A Jar,1,1,1
My 2017 Oscar Predictions: A Lot of La La Land,0,0,0
Tim Duncan: An NBA Legend Rides Into The Sunset At A Safe And Prudent Speed,1,1,0
My dads Reagan protests inspire me to stand up to Donald Trump,0,0,0
My grandmothers death saved me from a life of debt,0,1,0
NAACP considers role alongside Black Lives Matter at annual convention,0,0,0
Nani: United contract could have been best moment of my life but it turned into the worst,0,0,0
Napkinless Man With Grease-Covered Fingers Realizes He Trapped In A Prison Of His Own Creation,1,1,0
Nasa hits problems with worlds first inflatable room for astronauts,0,0,0
Nation Ashamed To Admit They Would Probably Look Up John Goodmans Nudes If They Leaked,1,1,1
Nation Baffled By Childless Woman Who Doesnt Even Have High-Powered Career,1,1,0
Nation Demands More Movies Where Guy Reveals He Was Wearing Bulletproof Vest,1,1,0
"Nation Just Wants To Be Safe, Happy, Rich, Comfortable, Entertained At All Times",0,1,0
Nation Not Sure What Signals It Gave Off To Make Candidates Think It Would Be Into Them,1,1,0
Nation Of Immigrants Angry At Amount Of Immigrants Portrayed In Coca Cola Advert,1,1,0
Nation On Edge As Court Votes Whether To Legalize Gay Marriage Now Or In A Few Years,1,1,0
Nation Satisfied As Selena Gomez Completes Transition Into Sexualized Plaything,1,1,1
Nation Shudders To Think How Mad NRA Would Be If Obama Actually Proposed Meaningful Gun Control,1,1,0
Nation Struggling To Keep Track Of How Far Along It Is In All Its Ongoing Grieving Processes,1,1,0
Nation Wondering Why Struggling Mental Health System Cant Just Pull Itself Together,1,1,1
National Weather Service Releases Composite Sketch Of Tornado It Believes Ravaged Midwest,1,1,0
Nations Bison Hold Lavish Fundraiser In Effort To Get 2020 Candidates To Support Environment,1,1,0
Nations Gratuitously Sexual Couples Announce Plans To Wait In Line At Six Flags,1,1,1
Nation's Ivy Leaguers Share Hearty Laugh That Dartmouth Grad Thinks She Can Talk Shit On Anyone,1,1,1
Nations Loyalists Compete In Annual Nigels Bangers And Mash Eating Contest,1,1,0
Nations Single Men Announce Plan To Change Bedsheets By 2019,1,1,1
NBA draft 2016: Ben Simmons picked No1 by Philadelphia 76ers as it happened,0,0,0
NBA national anthem singer kneels and reveals Black Lives Matter T-shirt,0,0,0
Neanderthal Dental Plaque Shows What a Paleo Diet Really Looks Like,0,0,0
Nebraska politicians cant agree on the death penalty now voters get to decide,0,0,0
Neighborhood Starting To Get Too Safe For Family To Afford,1,1,0
Neil Young asks Obama to stop violent aggression at Dakota pipeline protest,0,0,0
Neuroscientists create atlas showing how words are organised in the brain,0,0,0
Never make ever again: The 007 worst James Bond rip-offs in history,0,0,0
New Evidence Reveals Pythagoras Wrote Dozens Of Unhinged Conspiracy Theorems About Triangles,0,1,0
New Honda Commercial Openly Says Your Kids Will Die In A Car Crash If You Buy A Different Brand,0,1,1
New Iowa Poll Finds Majority Of Democrats Would Vote For Candidate Named Bobby Cheeseburger,0,1,1
"New Monster Energy Defibrillator Touts 1,200 Volts Delivered Straight To Heart",1,1,0
New NFL Combine Drill Places Player Alone In Room With Woman,1,1,1
New Parenting Trend Involves Just Handing Children Bulleted List Of Things To Accomplish By 30,1,1,1
New Pre-Sauced Napkins Can Be Thrown Away Straight From Package,1,1,1
New Report Finds Americans Most Interested In Science When Moon Looks Different Than Usual,1,1,1
New Report Finds Moving To Isolated Seaside Cottage Greatly Increases Productivity,1,1,0
New Robot Warns When Someone's About To Walk In On You Masturbating,1,1,1
New School Shooter Drill Includes Practicing Pleas To Lawmakers To Do Something About This,1,1,0
New Statewide Education Standards Require Teachers To Forever Change Lives Of 30% Of Students,1,1,0
New Study Finds Being On Cover Of People Magazine Best Predictor Of Revealing All,1,1,0
New York and Minnesota show how DIY terrorism is the new normal,0,0,0
New York monument honors victims of giant octopus attack that never occurred,1,1,1
New York sees first documented case of a woman spreading Zika via sex,0,0,1
New Yorks newest protesters are right: its time to defund police,0,0,0
New Zealand Prime Ministers Baby Becomes First To Attend U.N. General Assembly,0,0,0
News: Crisis: The Astronauts On The ISS Cant Get Their Drug Dealer To Leave,1,1,1
News: Donald Trump Jr.s Meeting With A Russian Lawyer: What We Know So Far,0,0,0
News: Its Officially Fall: Someone Put A Witch Hat On Grandma,1,1,1
News: Life After The White House: Obama Just Launched His First Drone Strike As A Civilian,1,1,0
News: Making Things Easier: The FDA Has Announced That Any Round Food Is A Meatball,1,1,1
News: Sad Time For America: Even The Jocks Are Taking This Active Shooter Drill Seriously,1,1,1
News: Turkish Forces Have Just Seized Control Of ISIS Caliphate Adventure Theme Park,0,1,0
NFL denies sending Donald Trump a letter about debate schedule,0,1,0
NFL week one round-up: Lions pull off wild win to foil Luck comeback,0,0,0
"Ni No Kuni: Remastering Done Right, But Gameplay Is Marred By My Newborn Son's Constantly Screaming",1,1,1
Nicholas Stern: cost of global warming is worse than I feared,0,0,0
Nikki Haley: The U.S. Will No Longer Sit Idly By While Iran Continues To Exist,0,1,1
Nine Lives review: Kevin Spacey cant claw his way out of this feline disaster,0,0,0
No one wants to be Donald Trumps veep. What could go wrong?,0,0,1
No to opera houses; yes to rivers the dos and donts of scattering ashes,0,0,1
No to the Sky deal. The Murdochs cant be trusted,0,0,0
None of the old rules apply: Dave Eggers travels through post-election America,0,0,0
North Dakota arrest warrant for Amy Goodman raises fears for press freedom,0,0,0
North Korean Nukes and the Grand International-Relations Experiment in Asia,0,0,0
Nostalgic Hope Hicks Barely Recognizes Young Woman On White House ID Badge,1,1,0
Not Even Andrew Jackson Went as Far as Trump in Attacking the Courts,0,0,0
NRA Calls For Department Of Education To Provide Every Student With Body Bag,1,1,1
NSA contractor arrested for alleged theft of top secret classified information,0,0,0
Nuclear weapons: how foreign hotspots could test Trumps finger on the trigger,0,0,0
Number Of Users Who Actually Enjoy Facebook Down To 4,1,1,1
Trump attacks Clinton as trigger-happy as he vows to expand military,0,1,0
NYC Park Officials Finally Get Around To Replacing Dead Light Bulbs In Statue Of Libertys Eyes,1,1,0
NYPD admits we failed in police shooting of mentally ill Bronx woman,0,0,0
"Obama Compiles Shortlist Of Gay, Transsexual Abortion Doctors To Replace Scalia",1,1,0
Obama Fantasizes About Ordering Drone Strike Against Self On Last Day Of Presidency,1,1,1
Obama on Dallas shooting: We cannot let the actions of a few define all of us,0,0,0
Obama Reminds Nation That Hes Taking Personal Day Next Friday,1,1,0
Obama Sends Publisher Collection Of Pages For Presidential Graphic Novel,1,1,0
Obamacare: Recklessly Providing More Americans With Access To Longer Lifespans,1,1,1
Obamas veto of 9/11 bill aimed at Saudi Arabia sets up standoff with Congress,0,0,0
Official Sprints Through Giant Inflatable Referee Hat To Take Field For Super Bowl,1,1,0
"Oh Great, Another Woman Who Only Loves Me For My Complete Collection Of Rurouni Kenshin Manga",1,1,1
"Olympic Officials: On The Whole, Only 4 Or 5 Really Terrible Things Happened",0,1,1
Omarosa Searches Through Tapes Of Everyone Else In White House Using N-Word For One Of Trump,1,1,0
"On CNN, Lewandowskis mission is to make Trump great again",0,0,0
"On The Tonight Show, Michelle Obama Cements a Legacy of Empathy",0,0,0
"On your marks, get set, wait: traffic jams clog Rio ahead of Olympic Games",0,0,0
One Reason Workers Are Struggling Even When Companies Are Doing Well,0,0,0
"One week left to pass Zika funding bill in US House, Democrats warn",0,0,0
Onion Social CEO Embarks On Tour Of Several Coffee Shops Near Where He Lives,1,1,0
Onion Social CEO Vaporized By Wall Of Light While Trying To Stop Algorithm From Self-Destructing,1,1,1
Orioles Creeped Out By Fan Who Followed Them To Spring Training,0,1,0
Oscar Pistorius removes prosthetic legs to walk at sentencing hearing,0,1,1
Other People review: cancer comedy lets Molly Shannon wring all types of tears,0,0,0
Our gun debate is topsy-turvy. Like quitting donuts to stop lung cancer,0,0,1
"Over 120 arrested at North Dakota pipeline protests, including journalists",0,0,0
Overworked Nation Wishes It Could Just Unplug From It All Like Puerto Rico,1,1,0
Overworked Prosecutor Thinking Of Taking Police Brutality Case As A Little Vacation,1,1,1
Panicking Mitch McConnell Shoves Entire Senate Healthcare Bill Into Mouth As Democrat Walks Past,1,1,0
Papa Johns Add Poison Pill Provision To Prevent Founder From Returning,1,0,0
Parent Struggling To Find Good Reason Why 5-Year-Old Shouldnt Be Afraid Of Starting School,0,1,1
Paris to sell off bridges love locks and give the proceeds to refugees,0,0,0
Park and Recreations Leslie Knope writes reassuring letter to America,0,0,0
"Park Rangers Lance Old Faithful In Effort To Pop Clogged, Inflamed Geyser",0,1,0
Patriots Day Is Best When It Digs Past the Heroism,0,0,0
Paul Manafort Spends Afternoon Making House Look Presentable For Next FBI Raid,1,1,1
Paul Ryan Currently 141 Miles Into Run Through Wisconsin Countryside,1,1,0
PBS Moderators Spend First 10 Minutes Of Debate Asking Candidates For Fundraising Advice,1,1,0
Pentagon Holds Gala To Celebrate 25 Years Of Bombing Iraq,1,1,1
People Are Finding It Hard to Focus on Work Right Now,0,0,0
People who film police violence are citizen journalists. We stand with them,0,0,0
Pet Researchers Confirm 100% Of Owners Who Leave For Work Never Coming Back,1,1,1
"Peter Thiel, who gave $1.25m to Trump, has called date rape belated regret",0,0,1
Peyton Mannings Wife Quietly Asks How Much Longer Papa John Going To Crash On Their Couch,1,1,1
Phaedra(s) review Isabelle Huppert flays audience in punishing triple bill,0,0,0
Phyllis Schlaflys legacy: She encouraged us to speak out and speak boldly,0,0,0
Picasso and Rivera review a lifelong conversation between artistic frenemies,0,0,0
Pigeon Feels Silly About Still Being A Little Scared Of Plastic Owl,1,1,1
Piling On: Lysol Is Following Microsofts Lead With A Series Of Ads Absolutely Dunking On MacBooks,1,0,1
Pit Of Komodo Dragons Shocked To Discover Billionaire Who Owns Them Is Just 26,1,1,1
Pity Aleppo as Putin drops his bombs to salvage Russias pride,0,0,0
Plan To Be More Positive Off To Shitty Fucking Start,1,1,1
Plan To Start Little Stationery Store Too Sad For Bank To Deny Loan,1,1,1
Planet Fitness Offering New Lights-Off Hour So No One Can Watch You Work Out,1,1,1
Planned Parenthood: eight states now striving to repeal abortion restrictions,0,0,0
Playtime at the Reichstag and Pick-Up Football in Ukraine: The Week in Global-Affairs Writing,0,0,0
Please Do Not Let Funyuns Become The Official Chip Of The Alt-Right,1,1,1
Pokmon Go is just the start Silicon Valley is taking over our reality,0,0,1
Pokmon Go: five tricks for pro players that are almost as good as cheats,0,1,1
Police and protesters clash during squatters rights protest in Berlin,0,1,1
Police arrest black people at higher rate in city where Philando Castile was shot,0,1,1
Police in England and Wales consider making misogyny a hate crime,0,0,0
Police officer suspended for Confederate flag display near anti-Trump protest,0,0,0
Police Officer Wouldnt Have Killed Black Man If He Knew Everyone Would Make Such A Big Fuss About It,1,1,1
Police push to fire officers involved in fatal shooting of Laquan McDonald,0,0,0
Political Scientists Baffled By Trumps Ability To End Something He Had No Control Over Just Days Ago,1,1,1
Poll finds 22% of tennis pros know a player who has used drugs,0,0,0
Poll: 78% Of Americans Hope Cataclysmic Event Wiping Out Humanity Will Have Big Tidal Wave,1,1,1
Pony Anxiously Waiting For Attendant To Flag Large Child As Too Big For Ride,1,1,1
Pope Cleans Up Dead Angel Who Flew Into Sistine Chapel Window,1,1,1
Pope Francis Worried About Job Security After Butting Heads With New God,1,1,1
Pop-up shoppers of the world unite as Morrissey store opens in New York,0,0,0
Portugal find a solution to their attacking conundrum: forget the centre-forward,0,0,0
"Possible Romney appointment provokes deluge of opposition, says Trump aide",0,0,0
"Poverty is often looked at in isolation, but it is an American problem",0,0,0
Powerful: This Woman Turned A Cereal Box Upside Down To Make A Point About How Theres No More Cereal,1,1,1
Premier League 2015-16 season review: our writers best and worst,0,0,0
Presidential Fitness Test Now Awarded To Any Kid Who Can Eat Without Sweating,1,1,1
"Princes Purple Rain shirt fetches almost $100,000 at California auction",0,0,0
"Priscilla Chan and Mark Zuckerberg aim to cure, prevent and manage all disease",0,1,1
Prison Economy Spirals as Price of Pack of Cigarettes Surpasses Two Handjobs,1,1,1
Prisoners of Europe: the everyday humiliation of refugees stuck in Greece,0,0,0
Progress Personified: Sarah Frey turns her familys farm into a pumpkin empire,0,0,0
Progress Personified: this couple is fighting breast cancer in an unorthodox way,0,0,0
Progress Personified‹: amputee turns life around by deciding to climb Mount Everest,0,0,0
Progress: This Video Game Stars A Vietnam War Veteran With Severe PTSD,0,0,0
Protest and prayer: Donald Trump visits black church in Detroit,0,0,0
Puerto Rico battles massive blackout after fire at electricity plant,0,0,0
Puerto Rico debt relief bill expected to pass US Senate,0,0,0
Push for ban on domestic ivory trade spurs feud at international summit,0,0,0
Putin clarifies Trump comment and says America is the worlds only superpower,0,1,0
Putin Starts Off Morning By Sitting Down To Write The Days News,1,1,0
"Puzzled Nation Can Remember Name Ferguson, But Not Sure From Where",1,1,1
Queen Elizabeth Unnerved By Stephen Millers Requests To Sample Royal Baby,1,1,0
Queen of Katwe review: Ugandan chess movie could be new Slumdog,0,0,0
Quiz: How Many Of These Failed Kickstarter Projects Have You Backed?,0,1,1
Quiz: How Many Of These Things Has Your Dentist Said As Small Talk While Cleaning Your Teeth?,0,1,1
Quiz: How Many Of These Ways Have You Tried To Surprise Your Mailman?,0,1,1
Quiz: What Condiment Are You Referring To When You Ask For Dog Sauce?,0,1,1
R. Kelly Fan Trying To Separate Image Of Beloved 90s Abuser From Reviled 10s Abuser,1,1,1
"Racial Slur Development Not Keeping Pace With Mixed-Race Births, Nation's Bigots Report",1,1,1
Rain-Drenched Cat Announces It Ready To Stay Inside And Be Part Of Family,1,1,1
"Ranked: World Leaders Who Are Out of Office, but Not Out of Power",0,0,0
Raytheon Unveils Military Robot Capable Of Composing Poignant Poems About Horrors Of War,1,1,0
Real Or Fake? This Man Eats A Taco Without Tilting His Head,1,1,1
Reality check: Even Hillary Clinton could not have passed gun control,0,0,0
Reason Man Turning To Religion Later In Life Must Be Horrifying,1,1,1
Recovering Alcoholic Doesnt Need Friends To Have A Good Time,1,1,1
Refugees on Nauru and Manus Island may be resettled in US,0,0,0
Reince Priebus on Trump campaign hires: I go with the flow,0,1,1
Relationship Experts Recommend Telling Woman You Would Die For Her At Outset Of First Date,1,1,1
Remote-Control Terrorists and Butterfly Tattoos: The Week in Global-Affairs Writing,0,0,1
Report Finds Populace Has Collective Goodwill To Come Together For Only 5 More National Tragedies,1,1,0
Report: 17 New Species Of Bacteria Found Every Day In Worlds Rainforest Cafs,1,1,0
Report: 79% Of Minority Suspects Receive Miranda Rights While Unconscious,1,1,0
Report: Advertisers Threatening To Pull Money Now The Only Remaining Way To Effect Any Change,0,1,1
Report: Airlines Installing Uncomfortable Bumps In Seatbacks Because It Pleases Them,1,1,1
"Report: Burying, Cremating Baby Boomers To Generate $200 Trillion In GDP",1,1,0
Report: Friends Apartment Not Nice Enough To Be Asking People To Take Off Shoes,1,1,1
Report: Half Of All Americans Probably Should Have Thought Of That Before They Opened Their Mouth,1,1,1
Report: Jets Players Lied About Concussion Symptoms To Get Out Of Games,1,1,0
"Report: Just So You Know, Your Younger Sister Probably Getting Laid Pretty Regularly These Days",1,1,1
Report: Leading Cause Of Death Still Venturing Beyond The Pines,1,1,1
Report: Male Hair Loss 7 Times More Painful Than Childbirth,1,1,1
Report: Middle Class Running Dangerously Low On Things To Be Squeezed Out Of,1,1,1
Report: Nazi Treasure Hunters Following More Realistic Retirement Plan Than 86% Of Country,1,1,0
Report: New iPhone Will No Longer Secretly Record Every Word You Say,1,1,1
Report: Only 20 Minutes Until Introverted Man Gets To Leave Party,1,1,1
Report: Peyton Manning Lacks Strength To Complete Longer Commercial Takes,1,1,0
Report: Puerto Rico Situation Remains Dire Despite Months Of No Help Whatsoever,1,1,0
Report: Sharks To Only Kill 10 People This Year But One Of Them Will Be You,1,1,1
Report: Some Dumb Fuck Out There Probably Wants His City To Host Olympics Now,1,1,1
Report: Someone Needs To Get Chips And Dip Away From Area Man,1,1,1
Report: Still Hasn't Been Long Enough To Open Restaurant Called Bin Laden's,1,1,1
Report: Students Who Take Latin Have Better Chance Of Summoning Demon Later In Life,1,1,1
Report: There Must Be Some Trick To Unfolding Table Legs,1,1,1
Report: Today The Day Woman Either Quits Job Or Goes Home And Watches 4 Hours Of Netflix,1,1,1
Report: Whites More Likely To Be Named CEOs Than Equally Sociopathic Black Candidates,1,1,0
Report: Women Only Made Up 2.7% Of Video Game Bosses Last Year,1,1,0
Republican Voters Trust Trump More Than GOP Leaders in Congress,1,1,0
"Republicans Storm National Statuary Hall, Demand To Be Allowed Into Elijah Cummings Casket",1,1,0
Researchers No Closer To Understanding What The Fuck Youre Talking About,1,1,1
Researchers say there are no benefits of testosterone treatments for men,0,0,1
Resistance Democrat Racking Brain For Way To Sexualize Anonymous Whistleblower,0,1,1
Resistance to the Antibiotic of Last Resort Is Silently Spreading,0,1,0
Rest Of Nation To Penn State: Something Is Very Wrong With All Of You,1,1,1
Rewriting the Quran: Kader Abdolah and his controversial interpretation of Islams holy book,0,0,0
Rex Tillerson Blindsided By News He Still Worked For State Department,1,1,0
Rough trade: the global economy needs a jumpstart to benefit all,0,0,0
Roy Moore Disgusted By Thought Of Groping Breasts Of Sexually Mature Woman,1,1,1
